piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A04;MECHELININKATU;25495441;6673716;2;730;2011;147;12;6;0;1;0;0;166
A04;MECHELININKATU;25495441;6673716;2;745;2011;146;19;7;0;0;2;0;172
A04;MECHELININKATU;25495441;6673716;2;800;2011;185;14;10;1;0;0;0;210
A04;MECHELININKATU;25495441;6673716;2;815;2011;163;20;8;0;1;0;0;192
A04;MECHELININKATU;25495441;6673716;2;830;2011;176;20;7;0;2;0;0;205
A04;MECHELININKATU;25495441;6673716;2;845;2011;165;16;7;2;1;0;0;191
A04;MECHELININKATU;25495441;6673716;2;900;2011;585;89;23;8;10;5;0;715
A04;MECHELININKATU;25495441;6673716;2;1000;2011;500;114;25;7;3;2;0;649
A04;MECHELININKATU;25495441;6673716;2;1100;2011;512;127;37;3;6;1;0;685
A04;MECHELININKATU;25495441;6673716;2;1200;2011;514;93;37;4;3;1;0;651
A04;MECHELININKATU;25495441;6673716;2;1300;2011;645;89;42;0;1;4;0;777
A04;MECHELININKATU;25495441;6673716;2;1400;2011;688;121;40;2;7;1;0;858
A04;MECHELININKATU;25495441;6673716;2;1500;2011;222;35;15;0;2;0;0;274
A04;MECHELININKATU;25495441;6673716;2;1515;2011;233;30;7;0;1;0;0;271
A04;MECHELININKATU;25495441;6673716;2;1530;2011;237;34;6;2;0;1;0;279
A04;MECHELININKATU;25495441;6673716;2;1545;2011;234;14;6;1;3;0;0;258
A04;MECHELININKATU;25495441;6673716;2;1600;2011;218;30;3;1;0;0;0;252
A04;MECHELININKATU;25495441;6673716;2;1615;2011;217;16;7;0;1;3;0;241
A04;MECHELININKATU;25495441;6673716;2;1630;2011;180;21;4;0;0;1;0;205
A04;MECHELININKATU;25495441;6673716;2;1645;2011;200;13;4;0;1;2;0;218
A04;MECHELININKATU;25495441;6673716;2;1700;2011;189;11;4;1;6;2;0;211
A04;MECHELININKATU;25495441;6673716;2;1715;2011;226;10;5;0;1;1;0;242
